Metric,Value
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.233986
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,14.465535
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,2372
design__max_fanout_violation__count,164
design__max_cap_violation__count,131
clock__skew__worst_hold,-0.33308454159833706
clock__skew__worst_setup,0.31631806402856205
timing__hold__ws,0.22839386583997978
timing__setup__ws,-5.799760835749272
timing__hold__tns,0.0
timing__setup__tns,-1326.656766881691
timing__hold__wns,0
timing__setup__wns,-5.799760835749272
timing__hold_vio__count,0
timing__hold_r2r__ws,0.228394
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1002
timing__setup_r2r__ws,-5.799761
timing__setup_r2r_vio__count,994
design__die__bbox,0.0 0.0 1936.0 2531.0
design__core__bbox,442.4 442.96 1493.52 2085.44
design__io,50
design__die__area,4.90002E+6
design__core__area,1.72644E+6
design__instance__count__stdcell,20968
design__instance__area__stdcell,824658
design__instance__count__macros,5
design__instance__area__macros,124202
design__instance__count__padcells,420
design__instance__area__padcells,2.0601E+6
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.549604
design__instance__utilization__stdcell,0.51469
design__rows,419
design__rows:GF018hv5v_mcu_sc7,419
design__sites,786463
design__sites:GF018hv5v_mcu_sc7,786463
design__instance__count__class:macro,5
design__instance__area__class:macro,124202
design__instance__count__class:input_pad,22
design__instance__area__class:input_pad,577500
design__instance__count__class:input_output_pad,26
design__instance__area__class:input_output_pad,682500
design__instance__count__class:power_pad,8
design__instance__area__class:power_pad,210000
design__instance__count__class:tie_cell,204
design__instance__area__class:tie_cell,1791.28
design__instance__count__class:buffer,21
design__instance__area__class:buffer,737.587
design__instance__count__class:inverter,379
design__instance__area__class:inverter,3332.31
design__instance__count__class:sequential_cell,1854
design__instance__area__class:sequential_cell,118260
design__instance__count__class:multi_input_combinational_cell,3978
design__instance__area__class:multi_input_combinational_cell,84895
flow__warnings__count,0
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,21
flow__warnings__type_count,0
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,364
design__instance__area__class:pad_spacer,590100
design__instance__count__class:endcap_cell,842
design__instance__area__class:endcap_cell,507779
flow__warnings__count:PAD-0033,2
design__instance__count__class:tap_cell,11160
design__instance__area__class:tap_cell,48996.9
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
design__instance__displacement__total,1747.2
design__instance__displacement__mean,0.083
design__instance__displacement__max,24.64
route__wirelength__estimated,479462
design__violations,0
design__instance__count__class:clock_buffer,294
design__instance__area__class:clock_buffer,16701.1
design__instance__count__class:clock_inverter,46
design__instance__area__class:clock_inverter,939.546
flow__warnings__count:STA-1140,109
design__instance__count__setup_buffer,58
design__instance__count__hold_buffer,0
design__instance__count__class:timing_repair_buffer,2159
design__instance__area__class:timing_repair_buffer,41001.9
design__instance__count__class:timing_repair_inverter,19
design__instance__area__class:timing_repair_inverter,171.226
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-0064,1
flow__warnings__count:RSZ-2021,666
global_route__vias,285
global_route__wirelength,721946
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,12
flow__warnings__count:EST-0026,1001
route__net,8888
route__net__special,50
route__drc_errors__iter:0,95
route__wirelength__iter:0,533995
route__drc_errors__iter:1,22
route__wirelength__iter:1,534006
route__drc_errors__iter:2,17
route__wirelength__iter:2,533984
route__drc_errors__iter:3,0
route__wirelength__iter:3,533925
route__drc_errors__iter:4,0
route__wirelength__iter:4,533959
route__drc_errors,0
route__wirelength,533925
route__vias,52899
route__vias__singlecut,52899
route__vias__multicut,0
design__instance__count__class:antenna_cell,12
design__instance__area__class:antenna_cell,52.6848
flow__warnings__count:DRT-0120,2
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,5113.57
design__instance__count__class:fill_cell,36728
design__instance__area__class:fill_cell,1.40589E+6
timing__unannotated_net__count__corner:nom_tt_025C_3v30,1900
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,1900
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,1900
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,752
design__max_fanout_violation__count__corner:min_tt_025C_3v30,164
design__max_cap_violation__count__corner:min_tt_025C_3v30,110
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.43019808377720975
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.3909405965161867
timing__hold__ws__corner:min_tt_025C_3v30,0.8483978204545053
timing__setup__ws__corner:min_tt_025C_3v30,4.466912299817069
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.848398
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,8.105410
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,1900
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,2046
design__max_fanout_violation__count__corner:min_ss_125C_3v00,164
design__max_cap_violation__count__corner:min_ss_125C_3v00,111
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.5840066373575181
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.5104166123119962
